ioc_id,ioc_ip,ioc_port,ioc,threat_desc,threat_source,threat_category,first_seen_utc,create_time,last_seen_utc
1075055,142.11.194.198,443,BumbleBee,win.bumblebee,TF_r0ny_123,botnet_cc,2023-01-29 17:21:36,1675262394,2023-01-31 15:41:38
1075056,18.176.183.3,13528,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-29 17:55:13,1675262394,2023-01-29 17:55:13
1075057,18.177.60.68,13528,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-29 18:00:22,1675262394,2023-01-29 18:00:22
1075058,18.177.53.48,13528,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-29 18:05:15,1675262394,2023-01-29 18:05:15
1075059,18.177.76.42,13528,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-29 18:10:17,1675262394,2023-01-29 18:10:17
1075060,62.204.41.72,80,Amadey,win.amadey,TF_abuse_ch,botnet_cc,2023-01-29 18:36:02,1675262394,2023-01-31 17:12:04
1075062,43.142.136.237,443,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-29 19:31:51,1675262394,2023-01-29 19:31:51
1075064,129.150.60.95,8089,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-29 19:32:23,1675262394,2023-01-29 19:32:23
1075077,5.255.103.108,443,IcedID,win.icedid,TF_r0ny_123,botnet_cc,2023-01-29 20:40:25,1675262394,2023-01-30 20:40:24
1075115,191.242.28.173,1177,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-29 21:50:19,1675262394,2023-01-29 21:50:19
1075157,198.154.112.64,26443,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-29 22:25:20,1675262394,2023-01-29 22:25:20
1075158,91.109.190.16,5050,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-29 22:55:19,1675262394,2023-01-29 22:55:19
1075163,5.254.118.254,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:34,1675262394,2023-01-30 04:35:34
1075164,45.9.74.6,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:34,1675262394,2023-01-30 04:35:34
1075165,45.9.74.50,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:34,1675262394,2023-01-30 04:35:34
1075166,45.15.156.50,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:35,1675262394,2023-01-30 04:35:35
1075167,45.90.59.19,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:35,1675262394,2023-01-30 04:35:35
1075168,77.91.78.44,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:35,1675262394,2023-01-30 04:35:35
1075169,77.91.78.69,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:35,1675262394,2023-01-30 04:35:35
1075170,79.137.205.138,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:36,1675262394,2023-01-30 04:35:36
1075171,79.137.206.195,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:36,1675262394,2023-01-30 04:35:36
1075172,79.137.207.4,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:36,1675262394,2023-01-30 04:35:36
1075173,80.89.228.162,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:36,1675262394,2023-01-30 04:35:36
1075174,83.217.11.4,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:36,1675262394,2023-01-30 04:35:36
1075175,85.192.40.253,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:36,1675262394,2023-01-30 04:35:36
1075176,89.44.9.71,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:36,1675262394,2023-01-30 04:35:36
1075177,135.181.68.23,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:37,1675262394,2023-01-30 04:35:37
1075178,157.90.172.182,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:37,1675262394,2023-01-30 04:35:37
1075179,170.75.160.9,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:37,1675262394,2023-01-30 04:35:37
1075180,185.125.206.245,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:37,1675262394,2023-01-30 04:35:37
1075181,188.34.199.86,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:37,1675262394,2023-01-30 04:35:37
1075182,195.201.124.92,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:38,1675262394,2023-01-30 04:35:38
1075183,206.189.179.153,80,Raccoon,win.raccoon,TF_0xrb,botnet_cc,2023-01-30 04:35:38,1675262394,2023-01-30 04:35:38
1075184,5.75.144.249,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075185,45.9.74.11,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075186,45.15.156.151,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075187,45.15.156.153,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075188,45.15.156.172,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075189,45.15.156.187,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075190,45.144.31.252,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075191,79.20.32.223,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:17,1675262394,2023-01-30 04:37:17
1075192,176.124.214.54,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:18,1675262394,2023-01-30 04:37:18
1075193,185.106.93.247,8081,Aurora Stealer,win.aurora_stealer,TF_0xrb,botnet_cc,2023-01-30 04:37:18,1675262394,2023-01-30 04:37:18
1075202,45.128.234.197,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:13,1675262394,2023-01-30 04:41:13
1075203,91.215.85.145,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:14,1675262394,2023-01-30 04:41:14
1075204,142.11.215.202,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:14,1675262394,2023-01-30 04:41:14
1075205,179.43.162.2,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:15,1675262394,2023-01-30 04:41:15
1075206,179.43.162.89,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:15,1675262394,2023-01-30 04:41:15
1075207,179.43.162.94,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:15,1675262394,2023-01-30 04:41:15
1075208,179.43.187.80,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:16,1675262394,2023-01-30 04:41:16
1075209,185.107.237.56,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:16,1675262394,2023-01-30 04:41:16
1075210,185.250.205.73,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:17,1675262394,2023-01-30 04:41:17
1075211,188.225.35.87,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:17,1675262394,2023-01-30 04:41:17
1075212,193.149.180.103,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:17,1675262394,2023-01-30 04:41:17
1075213,212.192.246.118,443,Rhadamanthys,win.rhadamanthys,TF_0xrb,botnet_cc,2023-01-30 04:41:17,1675262394,2023-01-30 04:41:17
1075214,139.177.196.67,31337,Sliver,win.sliver,TF_drb_ra,botnet_cc,2023-01-30 06:45:31,1675262394,2023-01-30 06:45:31
1075215,139.177.196.67,8888,Sliver,win.sliver,TF_drb_ra,botnet_cc,2023-01-30 06:45:32,1675262394,2023-01-30 06:45:32
1075216,34.140.146.194,443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-30 06:45:54,1675262394,2023-01-30 06:45:54
1075217,185.198.57.164,7443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-30 06:45:57,1675262394,2023-01-30 06:45:57
1075218,34.215.75.141,7443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-30 06:46:08,1675262394,2023-01-30 06:46:08
1075219,50.17.196.251,7443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-30 06:46:10,1675262394,2023-01-30 06:46:10
1075220,112.29.177.7,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:23,1675262394,2023-01-30 06:46:23
1075221,112.29.177.42,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:26,1675262394,2023-01-30 06:46:26
1075222,112.29.177.69,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:27,1675262394,2023-01-30 06:46:27
1075223,112.29.177.79,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:32,1675262394,2023-01-30 06:46:32
1075224,112.29.177.104,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:32,1675262394,2023-01-30 06:46:32
1075225,176.122.155.194,8888,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:45,1675262394,2023-01-30 06:46:45
1075226,170.187.197.210,47271,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 06:55:22,1675262394,2023-01-30 06:55:22
1075229,116.203.6.107,80,Vidar,win.vidar,TF_Ishusoka,botnet_cc,2023-01-30 08:16:30,1675262394,2023-01-30 08:16:30
